Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,32,,
,502,27,,
,503,22,,
,504,30,,
,505,5,,
,506,18,,
,507,22,,
,508,12,,
,509,44,,
,510,28,,
,511,16,,
,512,4,,
,513,79,,
,514,30,,
,515,39,,
,516,18,,
,517,39,,
,518,67,,
,519,22,,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,25,,
,502,20,,
,503,19,,
,504,14,,
,505,7,,
,506,0,,
,507,25,,
,508,14,,
,509,42,,
,510,29,,
,511,7,,
,512,3,,
,513,59,,
,514,36,,
,515,34,,
,516,13,,
,517,39,,
,518,47,,
,519,23,,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,30,,
,502,31,,
,503,27,,
,504,16,,
,505,5,,
,506,1,,
,507,29,,
,508,15,,
,509,47,,
,510,27,,
,511,6,,
,512,4,,
,513,68,,
,514,43,,
,515,33,,
,516,12,,
,517,36,,
,518,44,,
,519,22,,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,34,,
,502,37,,
,503,35,,
,504,21,,
,505,4,,
,506,7,,
,507,29,,
,508,15,,
,509,57,,
,510,22,,
,511,9,,
,512,3,,
,513,63,,
,514,49,,
,515,29,,
,516,10,,
,517,31,,
,518,57,,
,519,20,,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,33,,
,502,37,,
,503,31,,
,504,27,,
,505,5,,
,506,6,,
,507,27,,
,508,18,,
,509,54,,
,510,23,,
,511,13,,
,512,4,,
,513,70,,
,514,64,,
,515,32,,
,516,11,,
,517,42,,
,518,64,,
,519,24,,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,37,,
,502,39,,
,503,41,,
,504,39,,
,505,9,,
,506,16,,
,507,38,,
,508,23,,
,509,75,,
,510,46,,
,511,17,,
,512,7,,
,513,94,,
,514,65,,
,515,37,,
,516,12,,
,517,43,,
,518,72,,
,519,34,,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,86,,
,502,92,,
,503,63,,
,504,75,,
,505,30,,
,506,33,,
,507,62,,
,508,57,,
,509,94,,
,510,67,,
,511,28,,
,512,10,,
,513,187,,
,514,91,,
,515,71,,
,516,34,,
,517,68,,
,518,157,,
,519,59,,
