Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,32,,
,502,23,,
,503,20,,
,504,25,,
,505,4,,
,506,13,,
,507,19,,
,508,11,,
,509,41,,
,510,29,,
,511,19,,
,512,4,,
,513,79,,
,514,24,,
,515,24,,
,516,11,,
,517,34,,
,518,61,,
,519,26,,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,19,,
,502,23,,
,503,25,,
,504,14,,
,505,7,,
,506,1,,
,507,19,,
,508,15,,
,509,38,,
,510,32,,
,511,7,,
,512,4,,
,513,58,,
,514,28,,
,515,25,,
,516,14,,
,517,34,,
,518,56,,
,519,27,,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,30,,
,502,31,,
,503,25,,
,504,17,,
,505,6,,
,506,1,,
,507,28,,
,508,14,,
,509,49,,
,510,23,,
,511,4,,
,512,4,,
,513,68,,
,514,38,,
,515,27,,
,516,9,,
,517,31,,
,518,49,,
,519,26,,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,34,,
,502,32,,
,503,39,,
,504,23,,
,505,4,,
,506,4,,
,507,24,,
,508,15,,
,509,57,,
,510,24,,
,511,8,,
,512,4,,
,513,82,,
,514,55,,
,515,29,,
,516,11,,
,517,33,,
,518,45,,
,519,29,,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,35,,
,502,37,,
,503,26,,
,504,35,,
,505,3,,
,506,4,,
,507,27,,
,508,22,,
,509,40,,
,510,28,,
,511,15,,
,512,8,,
,513,57,,
,514,74,,
,515,39,,
,516,7,,
,517,43,,
,518,73,,
,519,22,,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,37,,
,502,42,,
,503,39,,
,504,35,,
,505,14,,
,506,12,,
,507,43,,
,508,17,,
,509,72,,
,510,43,,
,511,12,,
,512,4,,
,513,108,,
,514,74,,
,515,40,,
,516,16,,
,517,49,,
,518,74,,
,519,36,,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,86,,
,502,72,,
,503,53,,
,504,47,,
,505,34,,
,506,36,,
,507,75,,
,508,53,,
,509,123,,
,510,74,,
,511,24,,
,512,10,,
,513,202,,
,514,144,,
,515,62,,
,516,32,,
,517,77,,
,518,207,,
,519,92,,
