Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,30,,
,502,19,,
,503,14,,
,504,27,,
,505,8,,
,506,16,,
,507,18,,
,508,14,,
,509,35,,
,510,31,,
,511,17,,
,512,6,,
,513,77,,
,514,32,,
,515,43,,
,516,17,,
,517,44,,
,518,0,,
,519,51,,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,24,,
,502,18,,
,503,16,,
,504,12,,
,505,12,,
,506,2,,
,507,20,,
,508,20,,
,509,34,,
,510,37,,
,511,5,,
,512,5,,
,513,67,,
,514,41,,
,515,38,,
,516,15,,
,517,52,,
,518,0,,
,519,47,,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,27,,
,502,29,,
,503,24,,
,504,15,,
,505,9,,
,506,0,,
,507,25,,
,508,18,,
,509,44,,
,510,28,,
,511,4,,
,512,3,,
,513,72,,
,514,45,,
,515,31,,
,516,11,,
,517,37,,
,518,22,,
,519,38,,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,37,,
,502,35,,
,503,36,,
,504,25,,
,505,5,,
,506,6,,
,507,30,,
,508,13,,
,509,64,,
,510,19,,
,511,10,,
,512,2,,
,513,78,,
,514,46,,
,515,28,,
,516,12,,
,517,26,,
,518,62,,
,519,18,,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,36,,
,502,34,,
,503,28,,
,504,32,,
,505,4,,
,506,5,,
,507,30,,
,508,19,,
,509,47,,
,510,24,,
,511,14,,
,512,5,,
,513,63,,
,514,68,,
,515,36,,
,516,9,,
,517,39,,
,518,63,,
,519,19,,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,36,,
,502,44,,
,503,37,,
,504,37,,
,505,13,,
,506,15,,
,507,39,,
,508,19,,
,509,78,,
,510,44,,
,511,15,,
,512,6,,
,513,112,,
,514,68,,
,515,42,,
,516,15,,
,517,47,,
,518,79,,
,519,35,,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,49,,
,502,46,,
,503,32,,
,504,38,,
,505,17,,
,506,21,,
,507,31,,
,508,22,,
,509,73,,
,510,42,,
,511,14,,
,512,5,,
,513,108,,
,514,52,,
,515,39,,
,516,16,,
,517,44,,
,518,84,,
,519,39,,
